Strategy,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio
Momentum Long Short Factor,-2.53%,12.10%,-0.317,-48.66%,-0.052
Momentum Long Only Factor,11.68%,10.35%,0.926,-15.02%,0.778
Size Long Short Factor,1.20%,13.40%,0.007,-24.75%,0.049
Size Long Only Factor,16.04%,15.31%,0.918,-19.71%,0.814
Value Long Short Factor,0.00%,0.00%,-inf,0.00%,nan
Value Long Only Factor,0.00%,0.00%,-inf,0.00%,nan
Volatility Long Short Factor,-7.42%,12.22%,-0.734,-58.27%,-0.127
Volatility Long Only Factor,4.28%,7.40%,0.333,-15.19%,0.281
Quality Long Short Factor,0.00%,0.00%,-inf,0.00%,nan
Quality Long Only Factor,0.00%,0.00%,-inf,0.00%,nan
Equal Weight Benchmark,11.39%,5.28%,1.690,-10.23%,1.114
